id,name,furigana,category,region,rank,startDate,work,postalCode,address,phoneNumber,url,benefit,comment,isActive,createdAt,updatedAt,updatedBy,continuationYears
24,あさの皮フ科クリニック,,病院・医療,道東,ブロンズ,2018-01-01 00:00:00,病院・医療,084-0909,釧路市昭和町3丁目9番5号,0154-55-4112,http://asanohifuka.or.jp,,,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,3
25,余市町　大正堂薬局,たいしょうどう,病院・医療,道央,ブロンズ,2018-01-01 00:00:00,調剤薬局,046-0003,余市町黒川町7丁目35番地,0135-48-5555,,,真心を込めて健康もサポートします,1,2020-02-12 14:03:56,2020-03-10 14:28:01,18,3
26,アパマンショップ大通西18丁目店,あぱまんおおどおり,不動産業,道央,ブロンズ,2017-01-01 00:00:00,不動産業,060-0042,札幌市中央区大通西17丁目1-20 ライオンズMS第8大通１F,011-612-8818,http://www.apaman-nihonchiken.com,お部屋を探されている方紹介ください。お礼をご用意しております。,当社は北海道のスポーツを応援しております,1,2020-02-12 14:03:57,2020-03-10 13:27:29,18,4
28,伊東幹世税理士事務所,,法律関係,道央,ブロンズ,2017-01-01 00:00:00,税理士業,060-0042,札幌市中央区大通西15丁目1-13 ニューライフ大通公園302,011-631-0001,,,,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,4
29,医療法人社団かねた皮膚科クリニック,,病院・医療,道北,ゴールド,2018-01-01 00:00:00,病院・医療,070-0034,旭川市4条通10丁目2233-2,0166-23-2737,https://www.kaneta-hifuka.clinic/,,がんばれ！コンサドーレ！！目指せＡＣＬ！,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,3
30,アパマンショップ元町店,あぱまんもとまち,不動産業,道央,ブロンズ,2017-01-01 00:00:00,不動産業,007-0841,札幌市東区北23条東15丁目5-25ノーブル23,011-733-1650,http://www.apaman-nihonchiken.com,お部屋の契約で、1ヶ月分の家賃をサービス致します,野々村社長をガッチリサポート,1,2020-02-12 14:03:57,2020-03-10 13:35:23,18,4
31,Hair Cut Space ゴラッソ,ごらっそ,その他,道央,ブロンズ,2018-01-01 00:00:00,理容業,065-0026,札幌市東区北26条東15丁目1-40 ローヤルハイツ26,011-838-8945,,チームが勝利した翌日以降は得点数と同じ日数来店ポイント3倍,サッカーを観ながらヘアースタイルをきめましょう‼,1,2020-02-12 14:03:57,2020-03-09 13:58:35,18,3
32,株式会社　イーホライズン,いーほらいずん,不動産業,道央,ゴールド,2016-01-01 00:00:00,不動産業,060-0006,札幌市中央区北6条西25丁目2-5,011-612-9330,http://www.e-horizon.co.jp/,クラブコンサドーレ会員証提示で仲介手数料無料　※売買・テナント除く,"道内管理戸数5,000超！ピタットハウス加盟店。不動産管理・賃貸・売買に関するご相談は当社にお任せ！",1,2020-02-12 14:03:57,2020-02-18 13:18:57,18,5
33,夜空のジンギスカン すすきの交差点前,,飲料・食品,道央,シルバー,2017-01-01 00:00:00,飲食業,064-0804,札幌市中央区南4条西4丁目恵愛ビル5F,011-200-8929,http://www.yozojin.com,,食べてく？ジンギスカン,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,4
34,かき小屋 海の駅,かきごや,飲料・食品,道央,シルバー,2018-01-01 00:00:00,飲食店・マリーナ業,053-0004,苫小牧市港町2丁目2-5,0144-56-5931,http://uminoeki.info/kakikoya2.html,,北海道コンサドーレ札幌を熱く応援している苫小牧のお店です。,1,2020-02-12 14:03:57,2020-03-09 14:07:37,18,3
35,ファミリー歯科クリニック,ふぁみり,病院・医療,道央,ブロンズ,2012-01-01 00:00:00,歯科医院,066-0062,千歳市千代田町6丁目22,0123-26-2293,,,,1,2020-02-12 14:03:57,2020-03-09 17:00:53,18,9
37,司法書士・行政書士遠藤雄大事務所,えんどう,法律関係,道東,ブロンズ,2017-01-01 00:00:00,司法書士、行政書士,099-4112,斜里郡斜里町港町5番地9,0152-23-3640,,,知床・斜里町のコンサ大好き司法書士、行政書士事務所です。気軽にご相談ください。誠心誠意対応いたします。,1,2020-02-12 14:03:57,2020-03-10 13:55:34,18,4
38,株式会社　インフィニティ,いんふぃ,建設関係,道央,シルバー,2014-01-01 00:00:00,一級建築士事務所,001-0912,札幌市北区新琴似12条1丁目1番33号,011-708-1500,http://www.infiniti2008.jp,,,1,2020-02-12 14:03:57,2020-03-09 13:38:50,18,7
39,餃子と中華　つつみ人,つつみ,飲料・食品,道央,ブロンズ,2019-01-01 00:00:00,飲食業,063-0051,札幌市西区宮の沢1条1丁目6-27,011-624-6399,http://tsutsumibito.com/,,,1,2020-02-12 14:03:57,2020-03-10 14:52:00,18,2
40,かねひろ　羊ケ丘通店,,飲料・食品,道央,ブロンズ,2018-01-01 00:00:00,飲食業,004-0814,札幌市清田区美しが丘4条7丁目1-1,011-888-2233,,,,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,3
41,株式会社　ジャパンインシュアランスエージェント　 札幌支店,,その他,道央,ブロンズ,2005-01-01 00:00:00,保険代理店,060-0061,札幌市中央区南1条西12丁目322,011-241-7686,http://www.jianet.jp/,粗品贈呈,すべての保険をあらゆるかたちで・・・,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,16
42,合同会社　スノーベル,すのーべる,その他,道央,シルバー,2015-01-01 00:00:00,ダンス教室運営,062-0022,札幌市豊平区月寒西2条8丁目3-16-501,011-856-1132,http://snowbell.c-co.jp,ダンス教室（スタジオNEO）入会金５０％OFF,,1,2020-02-12 14:03:57,2020-03-10 10:04:34,18,6
43,合同容器　株式会社,,その他,道央,シルバー,2018-01-01 00:00:00,段ボール製造業,061-1492,恵庭市北柏木町3丁目39番,0123-32-4185,http://www.godoyoki.co.jp,,合同容器はサポートシップパートナーを通じて、北海道コンサドーレ札幌を応援します,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,3
44,医療法人社団　岩寺小児歯科医院,,病院・医療,道央,シルバー,1999-01-01 00:00:00,歯科医業,001-0045,札幌市北区麻生町２丁目4-5,011-758-7736,http://www.iwadera.com,,ガンバレコンサドーレ！！ガンバレハミガキ！！,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,22
45,医療法人社団　デンタルクリニック大通り,,病院・医療,道央,ブロンズ,2000-01-01 00:00:00,歯科医院,060-0042,札幌市中央区大通西10丁目4番地 南大通ビル2F,011-251-7676,http://www.odori-d.com,,,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,21
47,フラワー調剤,,病院・医療,道央,ブロンズ,2003-01-01 00:00:00,調剤薬局,065-0020,札幌市東区北20条東7丁目1‐25 アイエムビル1F,011-748-7658,,,,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,18
48,赤いひまわり薬局,,病院・医療,道央,ブロンズ,2005-01-01 00:00:00,調剤薬局,059-1911,勇払郡安平町追分本町１丁目37-3,0145-26-6555,,,,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,16
49,花畔動物病院,,病院・医療,道央,ブロンズ,2005-01-01 00:00:00,動物病院,061-3282,石狩市花畔2条1丁目172,0133-64-2100,,,,1,2020-02-12 14:03:57,2020-02-12 14:03:57,0,16
51,とざわ鍼灸マッサージ治療院,とざわ,病院・医療,道央,ブロンズ,2007-01-01 00:00:00,鍼・灸・マッサージ,005-0807,札幌市南区川沿7条2丁目3-28,011-572-3847,,会員は初診料（1000円）無料,今年こそACLへ,1,2020-02-12 14:03:58,2020-03-09 16:09:41,18,14
52,新井眼科クリニック,あらい,病院・医療,道央,ブロンズ,2007-01-01 00:00:00,眼科,007-0806,札幌市東区東苗穂6条2丁目9-15,011-785-7707,http://www.arai-eye.com,,もうチームの力はついた。J1優勝しかない！！,1,2020-02-12 14:03:58,2020-03-09 16:11:27,18,14
53,こひつじ薬局,,病院・医療,道東,ブロンズ,2008-01-01 00:00:00,薬局,080-0862,帯広市南の森西9丁目11番16号,0155-49-3322,,,,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,13
54,宮の森メンタルクリニック,,病院・医療,道央,ブロンズ,2009-01-01 00:00:00,心療内科,064-0825,札幌市中央区北5条西27丁目3-12 ネオアージュ円山2F,011-633-6233,http://www.miyanomorimental.com,,心の健康にはコンサの勝利が一番！,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,12
55,焼肉おうじゅう,,飲料・食品,道南,ブロンズ,2017-01-01 00:00:00,焼肉店,053-0053,苫小牧市柳町2丁目7番9号,0144-53-1129,http://www.flv-corp.co.jp/,,,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,4
56,炭火焼と海鮮 手づくり豆腐　　まいど！,まいど,飲料・食品,道央,ブロンズ,2018-01-01 00:00:00,居酒屋,060-0004,札幌市中央区北4条西2丁目1番地 キタコートレードビル2F,011-205-0433,http://maido-sapporo.com,勝利の日ユニフォームｏｒマフラー着用のご来店でドリンク全品100円‼,札幌駅南口店では店内で観戦出来ます！一緒に応援しよう！,1,2020-02-12 14:03:58,2020-03-10 14:33:36,18,3
57,喜多牧場,きた,その他,道北,シルバー,2018-01-01 00:00:00,酪農業,093-0731,紋別郡湧別町芭露18-12,0158-64-5001,https://yubetsu-kita-farm.amebaownd.com,,オホーツクの町ゆうべつから北海道コンサドーレ札幌を応援しています。,1,2020-02-12 14:03:58,2020-03-09 14:09:37,18,3
58,医療法人社団　住吉こどもクリニック,すみよし,病院・医療,道央,シルバー,2010-01-01 00:00:00,小児科診療所,066-0026,千歳市住吉3丁目16-10,0123-40-2344,http://www.sumiyoshi-kodomo.com/,,まずは今年も残留。そして埼玉に忘れ物をとりに行こう。,1,2020-02-12 14:03:58,2020-03-09 13:27:48,18,11
59,かとう眼科クリニック,,病院・医療,道央,ブロンズ,2012-01-01 00:00:00,眼科診療所,062-0020,札幌市豊平区月寒中央通7丁目6-20 JA月寒中央ビル5F,011-855-3030,http://www.myclinic.ne.jp/katoeyecl,,みんなが笑顔でいられますように,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,9
61,ふじのさわ内科クリニック,ふじのさわ,病院・医療,道央,プラチナ,2013-01-01 00:00:00,内科クリニック,061-2282,札幌市南区藤野2条2丁目1-15,011-591-8416,,,応援します！Ｊ１上位定着！,1,2020-02-12 14:03:58,2020-03-09 17:04:05,18,8
62,小林歯科医院,,病院・医療,道央,ブロンズ,2014-01-01 00:00:00,歯科医院,063-0802,札幌市西区二十四軒2条4丁目2-11 日商岩井琴似マンション108,011-642-8225,,,,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,7
63,医療法人誠志会　赤嶺歯科クリニック,,病院・医療,道外,シルバー,2015-01-01 00:00:00,歯科医業,,900-0023　沖縄県那覇市楚辺2-25-9,098-834-2562,http://www.akaminedc.com,,沖縄から熱く応援しています！,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,6
65,有限会社　水元建設,,建設関係,道央,ブロンズ,2016-01-01 00:00:00,建設業,050-0085,室蘭市輪西町1丁目32番14号,0143-47-8019,,,,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,5
66,よりあい酒場 f CLUB,よりあい,飲料・食品,道央,ブロンズ,1998-01-01 00:00:00,飲食業,060-0063,札幌市中央区南3条西5丁目 三条美松ビル3F,011-231-4151,,,サッポロクラシックを美味しく飲みながらコンサドーレ話で盛り上がろう！,1,2020-02-12 14:03:58,2020-03-09 14:11:58,18,23
67,ほっと12,,飲料・食品,道央,ブロンズ,2001-01-01 00:00:00,たこ焼き移動販売,005-0003,札幌市南区澄川3条5丁目3-10-801,090-2870-7119,http://www.hot12.jp/,たこ焼き1パック400円（税込）のところを300円にて提供します。,ほっとなたこ焼きでコンサを熱く応援！,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,20
68,株式会社 アントレ,あんとれ,飲料・食品,道央,ゴールド,2001-01-01 00:00:00,食肉加工,007-0802,札幌市東区東苗穂2条3丁目3番5号,011-783-5050,,,,1,2020-02-12 14:03:58,2020-03-09 11:17:21,18,20
69,チキンペッカー,,飲料・食品,道央,ブロンズ,2006-01-01 00:00:00,飲食業,004-0052,札幌市厚別区厚別中央2条4丁目11-39,011-894-2989,http://www.chickenpecker.com/,,,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,15
70,Bar DonBe,,飲料・食品,道央,ブロンズ,2007-01-01 00:00:00,スポーツバー,064-0804,札幌市中央区南4条西4丁目14-2 MYプラザビルB1F,011-241-5435,,,,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,14
71,　野村運送,のむら,その他,道央,ブロンズ,2013-01-01 00:00:00,軽貨物運送業,066-0019,千歳市流通1丁目4-9,0123-22-6033,,「コンサドーレ応援してます」とお伝えいただいたら、通常見積より20%OFF,全員一丸でタイトル獲りましょう‼,1,2020-02-12 14:03:58,2020-03-09 17:10:44,18,8
73,キッチン　デューク,,飲料・食品,道南,ブロンズ,2008-01-01 00:00:00,飲食店,041-0851,函館市本通り2丁目40-14,0138-32-7311,,,,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,13
74,北海料理 コロポックル,ころぽ,飲料・食品,道央,ブロンズ,2010-01-01 00:00:00,飲食業,064-0804,札幌市中央区南4条西4丁目7番地 松岡ビル3F,011-241-4646,http://www.koropokkuru.co.jp,単品料理の10%割引（カード不可、現金払いのみ）,北海道の新鮮な魚貝類とりたて旬の野菜を提供してます。創業44年目です。,1,2020-02-12 14:03:58,2020-03-09 16:48:51,18,11
75,居魚や かくれんぼ,,飲料・食品,道央,ブロンズ,2011-01-01 00:00:00,居酒屋,062-0042,札幌市豊平区福住2条2丁目9-14,011-851-0703,,,,1,2020-02-12 14:03:58,2020-02-12 14:03:58,0,10
77,壱鉄,,飲料・食品,道外,シルバー,2013-01-01 00:00:00,飲食業,,110-0005　東京都台東区上野3丁目22-3　ジイドビルB1F,03-3836-6262,,サポーター様ご来店時　ラムチョップ人数分サービス！！,東京での聖地目指します！！,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,8
78,ハマト商店,,卸売・小売,道南,ブロンズ,2015-01-01 00:00:00,卸・小売業,049-4816,久遠郡せたな町瀬棚区本町81-1,0137-87-2259,,,,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,6
79,コンサドーレ札幌　旭川地区後援会,こんさどーれあさひかわちく,その他,道北,ブロンズ,2018-01-01 00:00:00,私設後援会,,,,http://asahikawa.consadole.to/,,旭川からも熱く応援応援 ! ドーム直行のバスツアーやゲストを招いてのイベントも行っています！,1,2020-02-12 14:03:59,2020-03-10 14:38:12,18,3
80,札幌弁当工房西店,さっぽろべんとう,飲料・食品,道央,ブロンズ,2013-01-01 00:00:00,お弁当店,063-0051,札幌市西区宮の沢1条1丁目6-36,011-669-8111,http://satuben.jp/,,当店も負けずに“うまさと早さで！”,1,2020-02-12 14:03:59,2020-03-09 17:19:51,18,8
84,ＧＥＬＡＴＥＲＩＡ　Ｇｅｒｅａｍ,じぇらてりあ,飲料・食品,道央,ブロンズ,2014-01-01 00:00:00,ジェラートの製造・販売,063-0033,札幌市西区西野３条７丁目５番１１−３,011-661-0395,http://www.geream.com/,ジェラートダブルご注文でトリプルにします。ご本人様のみ（他サービスとの併用不可）,コンサドーレが勝った次の日は赤と黒のジェラートを作ってます‼,1,2020-02-12 14:03:59,2020-03-10 09:53:39,18,7
85,らーめん　四代目　いちまる　宮の沢店,いちまる,飲料・食品,道央,ブロンズ,2015-01-01 00:00:00,飲食店（ラーメン）,063-0062,札幌市西区西町南21丁目1-20,011-666-1408,http://sapporo-ichimaru.com/,味付玉子　１個サービス,宮の沢練習場から徒歩圏にあるお店です。応援の後に是非お立ち寄りください。,1,2020-02-12 14:03:59,2020-03-10 10:06:32,18,6
86,かづき,かづき,その他,道央,ブロンズ,2018-01-01 00:00:00,洋服のお直し,004-0880,札幌市清田区平岡10条1丁目8-12,011-802-5981,,,洋服・小物のお直し承ります！,1,2020-02-12 14:03:59,2020-03-09 11:40:57,18,3
87,カフェ　カントリースノウ,,飲料・食品,道央,ブロンズ,2015-01-01 00:00:00,飲食店,004-0052,札幌市厚別区厚別中央2条1丁目１-3,090-3776-3455,,,,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,6
89,ＡＱＵＡ　ＤＲＯＰ,,飲料・食品,道東,ブロンズ,2016-01-01 00:00:00,飲食業,084-0013,釧路市栄町4-2 ＭＴヒルズ3Ｆ,0154-24-4580,,,,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,5
90,有限会社　中田ガラス店,,卸売・小売,道北,ブロンズ,2003-01-01 00:00:00,ガラス・建材・家具販売,095-0002,士別市東2条北1丁目-1,0165-23-3661,http://www.n-escargot.jp,,,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,18
91,フローラル 明日花,ふろーらる,卸売・小売,道央,ブロンズ,2004-01-01 00:00:00,生花小売業,064-0922,札幌市中央区南22条西11丁目1-6,011-522-0087,http://www.flower-ne.jp,,行先は　決まっている,1,2020-02-12 14:03:59,2020-03-09 15:57:54,18,17
92,Ｋｉｔａｋａｒａ,きたから,飲料・食品,道央,ブロンズ,2012-01-01 00:00:00,健康福祉・ポップコーン販売,069-1334,夕張郡長沼町錦町北１丁目７−２,0123-76-7911,http://www.ameblo.jp/popsaku,,コンサドーレとともに世界へ！これからも応援し続けます。,1,2020-02-12 14:03:59,2020-03-09 17:12:22,18,9
94,株式会社どうしん　中川販売店,,新聞販売,道央,ブロンズ,2001-01-01 00:00:00,新聞販売,062-0041,札幌市豊平区福住1条5丁目8-22,011-852-4138,http://www.e-shinbun.co.jp/,クラブ会員証提示で、当店書籍類を5%引き。（どうしん中川）で検索。,コンサドーレニュースは道新&道新スポーツで。月刊コンサの申し込み当店はホームページからも受け付け中。,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,20
95,有限会社　道新ながさわ,,新聞販売,道央,ブロンズ,2003-01-01 00:00:00,新聞販売業,004-0876,札幌市清田区平岡6条2丁目3-15,011-881-5006,,,,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,18
96,有限会社　道新谷口販売所,,新聞販売,道央,ブロンズ,2008-01-01 00:00:00,新聞販売業,063-0829,札幌市西区発寒9条14丁目516番地160,011-662-6833,,,,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,13
97,株式会社　道新販売センター,,新聞販売,道央,ブロンズ,2008-01-01 00:00:00,新聞販売業,004-0021,札幌市厚別区青葉町6丁目1-33,011-891-8189,,,道民のための企業活動を目指して,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,13
99,有限会社　弘和,,その他,道央,ブロンズ,2002-01-01 00:00:00,保険代理店業,066-0063,千歳市幸町1丁目11 ドミトリィ雄飛1F,0123-26-6877,,,,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,19
100,株式会社 トータルサポート24,,その他,道東,ブロンズ,2008-01-01 00:00:00,保険代理店,086-1046,標津郡中標津町東6条北1丁目1番地,0153-73-4533,,,,1,2020-02-12 14:03:59,2020-02-12 14:03:59,0,13
101,山崎克巳税理士事務所,やまざきかつみ,法律関係,道央,プラチナ,1998-01-01 00:00:00,税理士,060-0061,札幌市中央区南1条西12丁目322番地 壽時ビル,011-281-2501,,,,1,2020-02-12 14:03:59,2020-03-09 11:13:51,18,23
102,小関勝紀税理士事務所,こせき,法律関係,道外,シルバー,2004-01-01 00:00:00,会計事務所,110-0008,東京都台東区池之端1-1-1　池之端ビル2F,03-5688-5271,http://inter-tso.com/,,今年こそ上位進出を！,1,2020-02-12 14:03:59,2020-03-09 13:24:47,18,17
104,税理士法人 すずらん総合マネジメント,すずらん,法律関係,道央,ブロンズ,2011-01-01 00:00:00,税理士事務所,064-0804,札幌市中央区南4条西10丁目1004-2,011-211-5492,http://www.suzurankaikei.com,相談料無料,2020年J1優勝を祈念しております,1,2020-02-12 14:04:00,2020-03-09 16:56:59,18,10
105,はちもり会計事務所,,法律関係,道央,シルバー,2012-01-01 00:00:00,税理士事務所,060-0061,札幌市中央区南1条西11丁目327-6    ワンズ南1条ビル3階,011-213-1008,http://www.hachimori-tax.com,顧問料2ヶ月分無料,北海道のためにがんばっています。,1,2020-02-12 14:04:00,2020-02-12 14:04:00,0,9
106,弁護士法人 太田･小幡綜合法律事務所,おおた,法律関係,道央,ゴールド,2013-01-01 00:00:00,弁護士事務所,060-0042,札幌市中央区大通西4丁目1番地 道銀ビル7階,011-222-3251,http://www.oota-law.com,,札幌・東京を拠点に法律に関するワンストップサービスをご提供します,1,2020-02-12 14:04:00,2020-03-09 13:30:33,18,8
107,北海道みらい法律事務所,ほっかいどうみらい,法律関係,道央,プラチナ,2014-01-01 00:00:00,法律事務所,050-0083,室蘭市東町2丁目27番4号 セミナービル3階,0143-83-4131,http://www.hokkaido-mirai.com/,会員の方は初回の法律相談無料！,スポーツを通した青少年の健全育成を応援しています！,1,2020-02-12 14:04:00,2020-03-09 11:26:05,18,7
108,医療法人社団　稲信会　まえだ森林クリニック,,病院・医療,道央,シルバー,2004-01-01 00:00:00,内科・神経内科診療所,006-0829,札幌市手稲区手稲前田496-11,011-685-6060,,,,1,2020-02-12 14:04:00,2020-02-12 14:04:00,0,17
110,永山あゆみ保育園,,その他,道北,ブロンズ,2013-01-01 00:00:00,保育所,079-8415,旭川市永山5条9丁目4-6,0166-48-0600,,,,1,2020-02-12 14:04:00,2020-02-12 14:04:00,0,8
111,学校法人 大藤学園,,その他,道央,ブロンズ,2013-01-01 00:00:00,幼稚園,003-0023,札幌市白石区南郷通18丁目北43,011-864-5411,,,,1,2020-02-12 14:04:00,2020-02-12 14:04:00,0,8
113,株式会社　琴似宅建,ことに,不動産業,道央,ブロンズ,2005-01-01 00:00:00,不動産業,063-0842,札幌市西区八軒2条西1丁目3番15号,011-611-6512,http://kotonita.com,,おもしろくなければサッカーじゃない,1,2020-02-12 14:04:00,2020-03-09 16:03:23,18,16
114,株式会社　山二,やまに,不動産業,道央,ブロンズ,2007-01-01 00:00:00,不動産業,007-0845,札幌市東区北45条東4丁目2-20,011-753-5558,http://www.yama-ni.co.jp,仲介手数料10%引,山二はコンサドーレと共にがんばっています。,1,2020-02-12 14:04:00,2020-03-09 16:13:44,18,14
115,株式会社　アスクゲートグループ,あすく,その他,道央,ブロンズ,2010-01-01 00:00:00,業務コンサル,003-0813,札幌市白石区菊水上町3条2丁目52-225,011-833-3055,http://www.ask-s.co.jp/,,人材派遣で全国をサポート！ご相談はアスクゲートグループへ,1,2020-02-12 14:04:00,2020-03-09 16:50:15,18,11
116,株式会社モード・アライブ,,不動産業,道央,シルバー,2018-01-01 00:00:00,不動産業,065-0009,札幌市東区北9条東11丁目1-39,011-299-2277,http://www.mode-alive.com/,,,1,2020-02-12 14:04:00,2020-02-12 14:04:00,0,3
